"replicate","method","c1","c2","n_optima","empty_middle","BA_boot","BA_original","optimism"
53,"Distance",-1.63101374575,2.058848797,1,FALSE,0.720068906115418,0.67525532176695,0.044813584348468
54,"Youden",-1.01030927835,2.058848797,1,FALSE,0.767294204503507,0.673532668881506,0.0937615356220007
54,"Distance",-1.01030927835,2.058848797,1,FALSE,0.767294204503507,0.673532668881506,0.0937615356220007
55,"Youden",-1.4742268041,0.1323024055,1,FALSE,0.677101021287068,0.66162175464501,0.0154792666420573
55,"Distance",-1.4742268041,0.609106529,1,FALSE,0.675993601574997,0.691891226774948,-0.0158976251999509
56,"Youden",-1.4656357388,-0.0824742268,1,FALSE,0.715590008613264,0.646487018580042,0.0691029900332225
56,"Distance",-1.4656357388,2.056701031,1,FALSE,0.713006029285099,0.667158853205365,0.0458471760797342
57,"Youden",-1.63101374575,0.806701031,1,FALSE,0.692949427833149,0.691866617448013,0.00108281038513591
57,"Distance",-1.63101374575,0.806701031,1,FALSE,0.692949427833149,0.691866617448013,0.00108281038513591
58,"Youden",-0.6387457045,1.219072165,1,FALSE,0.751470407284361,0.68874123292728,0.0627291743570813
58,"Distance",-0.6387457045,1.219072165,1,FALSE,0.751470407284361,0.68874123292728,0.0627291743570813
59,"Youden",-1.4656357388,0.858247423,1,FALSE,0.761338747385259,0.683770148886428,0.077568598498831
59,"Distance",-1.4656357388,0.858247423,1,FALSE,0.761338747385259,0.683770148886428,0.077568598498831
60,"Youden",-1.01030927835,0.806701031,1,FALSE,0.697945121200935,0.690143964562569,0.00780115663836589
60,"Distance",-1.57731958765,2.058848797,1,FALSE,0.690414667158853,0.667503383782454,0.0229112833763997
61,"Youden",-0.2328178694,0.806701031,1,FALSE,0.719453672942045,0.681013904269718,0.0384397686723269
61,"Distance",-1.63101374575,0.806701031,1,FALSE,0.670358065706903,0.691866617448013,-0.0215085517411099
62,"Youden",-1.01030927835,0.609106529,1,FALSE,0.698658791682047,0.690513104466593,0.00814568721545461
62,"Distance",-1.63101374575,2.058848797,1,FALSE,0.645650301464255,0.67525532176695,-0.0296050203026947
63,"Youden",-1.01030927835,2.058848797,1,FALSE,0.760280546327058,0.673532668881506,0.0867478774455519
63,"Distance",-1.4742268041,2.058848797,1,FALSE,0.753906730650917,0.674910791189861,0.0789959394610558
64,"Youden",-0.3316151203,0.606958763,1,FALSE,0.711332595053525,0.696886920142734,0.0144456749107912
64,"Distance",-1.01030927835,2.681701031,1,FALSE,0.658324104835733,0.657290513104467,0.00103359173126616
65,"Youden",-1.63101374575,0.806701031,1,FALSE,0.747237603051557,0.691866617448013,0.0553709856035437
65,"Distance",-1.63101374575,2.5206185565,1,FALSE,0.73025716746647,0.66713424387843,0.0631229235880398
66,"Youden",-0.07817869415,0.858247423,2,FALSE,0.689134982158238,0.680669373692629,0.00846560846560851
66,"Distance",-1.6825601375,1.219072165,1,FALSE,0.676707272056109,0.683745539559493,-0.00703826750338377
67,"Youden",-0.3316151203,0.858247423,1,FALSE,0.688765842254214,0.69651778023871,-0.00775193798449614
67,"Distance",-1.63101374575,1.691580756,1,FALSE,0.65374677002584,0.659751445797957,-0.00600467577211761
68,"Youden",-0.6387457045,0.806701031,1,FALSE,0.736384889873262,0.696862310815799,0.0395225790574628
68,"Distance",-1.63101374575,0.806701031,1,FALSE,0.717263442844838,0.691866617448013,0.0253968253968254
69,"Youden",-1.4742268041,0.858247423,1,FALSE,0.728559123907961,0.691522086870924,0.037037037037037
69,"Distance",-1.4742268041,1.219072165,1,FALSE,0.728189984003938,0.683401008982404,0.0447889750215332
70,"Youden",-1.63101374575,0.95919244,1,FALSE,0.700701365817645,0.675993601574997,0.024707764242648
70,"Distance",-1.63101374575,2.681701031,1,FALSE,0.683720930232558,0.65901316598991,0.0247077642426479
71,"Youden",-1.6825601375,1.47895189,1,FALSE,0.714039621016365,0.675624461670973,0.038415159345392
71,"Distance",-1.6825601375,1.47895189,1,FALSE,0.714039621016365,0.675624461670973,0.038415159345392
72,"Youden",-1.4742268041,2.058848797,1,FALSE,0.776104343546204,0.674910791189861,0.101193552356343
72,"Distance",-1.4742268041,2.058848797,1,FALSE,0.776104343546204,0.674910791189861,0.101193552356343
73,"Youden",-1.63101374575,2.681701031,1,FALSE,0.735179032853451,0.65901316598991,0.0761658668635412
73,"Distance",-1.63101374575,2.681701031,1,FALSE,0.735179032853451,0.65901316598991,0.0761658668635412
74,"Youden",-0.32946735395,2.681701031,1,FALSE,0.686920142734096,0.655912390796112,0.0310077519379846
74,"Distance",-0.32946735395,2.681701031,1,FALSE,0.686920142734096,0.655912390796112,0.0310077519379846
75,"Youden",-0.6967353952,1.219072165,2,FALSE,0.743767687953734,0.68874123292728,0.055026455026455
75,"Distance",-1.01030927835,2.058848797,1,FALSE,0.720438046019441,0.673532668881506,0.0469053771379353
76,"Youden",-0.32946735395,2.5206185565,1,FALSE,0.680251015134736,0.664033468684631,0.0162175464501046
76,"Distance",-1.3711340206,2.5206185565,1,FALSE,0.674910791189861,0.658693244739756,0.0162175464501046
77,"Youden",-0.3316151203,1.0622852235,1,FALSE,0.766678971330134,0.680644764365695,0.0860342069644394
77,"Distance",-1.4742268041,1.47895189,1,FALSE,0.723563430540175,0.675279931093885,0.0482834994462901
78,"Youden",-1.01030927835,0.858247423,1,FALSE,0.752208687092408,0.690143964562569,0.0620647225298387
78,"Distance",-1.69780927835,2.7246563575,1,FALSE,0.714753291497478,0.644198351175095,0.0705549403223822
79,"Youden",-1.63101374575,0.6112542955,1,FALSE,0.75427587055494,0.692235757352036,0.0620401132029038
79,"Distance",-1.63101374575,0.6112542955,1,FALSE,0.75427587055494,0.692235757352036,0.0620401132029038
80,"Youden",-0.64518900345,0.5597079035,1,FALSE,0.713793527747016,0.673975636766334,0.0398178909806817
80,"Distance",-3.03350515465,0.5597079035,1,FALSE,0.694672080718592,0.603691399040236,0.090980681678356
81,"Youden",-1.63101374575,0.858247423,1,FALSE,0.745834871416267,0.691866617448013,0.0539682539682539
81,"Distance",-2.36125429555,0.858247423,1,FALSE,0.732398178909807,0.648111234157746,0.0842869447520611
82,"Youden",-0.6967353952,2.5206185565,2,FALSE,0.679881875230712,0.672129937246216,0.00775193798449614
